INDEX,TASK
1,Help patient apply for SNAP (food stamps) benefits
2,Schedule follow-up psychiatric evaluation appointment
3,Assist patient with setting up paratransit for appointments
4,Discuss patient openness to using LAIs for antipsychotics
5,Connect patient with local utility assistance program
6,Support patient in creating morning medication routine
7,Help patient request medical records transfer from previous provider
8,Coach patient on how to advocate for themselves during provider visits
9,Coach patient on how to check blood sugar 
10,Enroll patient in a peer support group focused on recovery goals